type,stride,run,cycles_per_access
stride,4,87,9.78
stride,8,87,13.74
stride,16,87,20.67
stride,32,87,24.64
stride,64,87,23.79
stride,128,87,24.56
stride,256,87,25.15
stride,512,87,26.53
stride,1024,87,25.55
random,NA,87,26.75
sequential,1,88,9.85
stride,2,88,9.69
stride,4,88,9.77
stride,8,88,13.75
stride,16,88,20.49
stride,32,88,24.68
stride,64,88,23.80
stride,128,88,24.54
stride,256,88,25.11
stride,512,88,26.45
stride,1024,88,25.87
random,NA,88,26.75
sequential,1,89,9.85
stride,2,89,9.70
stride,4,89,9.78
stride,8,89,13.75
stride,16,89,20.46
stride,32,89,24.70
stride,64,89,23.78
stride,128,89,24.59
stride,256,89,25.33
stride,512,89,26.27
stride,1024,89,25.76
random,NA,89,26.75
sequential,1,90,9.85
stride,2,90,9.69
stride,4,90,9.78
stride,8,90,13.76
stride,16,90,20.55
stride,32,90,24.64
stride,64,90,23.70
stride,128,90,24.49
stride,256,90,25.08
stride,512,90,26.30
stride,1024,90,26.33
random,NA,90,26.76
sequential,1,91,9.86
stride,2,91,9.70
stride,4,91,9.80
stride,8,91,13.75
stride,16,91,20.49
stride,32,91,24.67
stride,64,91,23.74
stride,128,91,24.56
stride,256,91,25.20
stride,512,91,26.22
stride,1024,91,25.82
random,NA,91,26.75
sequential,1,92,9.80
stride,2,92,9.69
stride,4,92,9.77
stride,8,92,13.74
stride,16,92,20.48
stride,32,92,24.65
stride,64,92,23.74
stride,128,92,24.51
stride,256,92,25.26
stride,512,92,26.25
stride,1024,92,25.72
random,NA,92,26.75
sequential,1,93,9.84
stride,2,93,9.70
stride,4,93,9.77
stride,8,93,13.76
stride,16,93,20.47
stride,32,93,24.66
stride,64,93,23.77
stride,128,93,24.56
stride,256,93,27.84
stride,512,93,26.28
stride,1024,93,26.47
random,NA,93,26.76
sequential,1,94,9.86
stride,2,94,9.70
stride,4,94,9.77
stride,8,94,13.74
stride,16,94,20.49
stride,32,94,24.66
stride,64,94,23.70
stride,128,94,24.50
stride,256,94,25.22
stride,512,94,26.28
stride,1024,94,25.62
random,NA,94,26.74
sequential,1,95,9.85
stride,2,95,9.70
stride,4,95,9.81
stride,8,95,13.74
stride,16,95,20.49
stride,32,95,24.67
stride,64,95,23.74
stride,128,95,24.52
stride,256,95,25.24
stride,512,95,26.29
stride,1024,95,25.71
random,NA,95,26.76
sequential,1,96,9.85
stride,2,96,9.68
stride,4,96,9.85
stride,8,96,13.74
stride,16,96,20.47
stride,32,96,24.72
stride,64,96,23.75
stride,128,96,24.61
stride,256,96,25.32
stride,512,96,26.23
stride,1024,96,25.73
random,NA,96,26.75
sequential,1,97,9.85
stride,2,97,9.70
stride,4,97,9.78
stride,8,97,13.77
stride,16,97,20.51
stride,32,97,24.67
stride,64,97,23.70
stride,128,97,24.55
stride,256,97,25.18
stride,512,97,26.49
stride,1024,97,25.84
random,NA,97,26.76
sequential,1,98,9.86
stride,2,98,9.69
stride,4,98,9.78
stride,8,98,13.76
stride,16,98,20.51
stride,32,98,24.63
stride,64,98,23.79
stride,128,98,24.54
stride,256,98,25.21
stride,512,98,26.24
stride,1024,98,25.66
random,NA,98,26.75
sequential,1,99,9.85
stride,2,99,9.69
stride,4,99,9.78
stride,8,99,13.75
stride,16,99,20.50
stride,32,99,24.64
stride,64,99,23.75
stride,128,99,24.54
stride,256,99,25.10
stride,512,99,26.33
stride,1024,99,26.36
random,NA,99,26.75
