type,stride,run,cycles_per_access
stride,64,73,18.41
stride,128,73,18.41
stride,256,73,18.39
stride,512,73,18.45
stride,1024,73,18.82
random,NA,73,19.34
sequential,1,74,6.20
stride,2,74,6.58
stride,4,74,7.44
stride,8,74,10.06
stride,16,74,17.79
stride,32,74,18.40
stride,64,74,18.43
stride,128,74,18.48
stride,256,74,18.50
stride,512,74,18.25
stride,1024,74,18.37
random,NA,74,19.37
sequential,1,75,6.20
stride,2,75,6.58
stride,4,75,7.43
stride,8,75,10.03
stride,16,75,17.76
stride,32,75,18.36
stride,64,75,18.33
stride,128,75,18.47
stride,256,75,18.35
stride,512,75,18.31
stride,1024,75,18.58
random,NA,75,19.30
sequential,1,76,6.20
stride,2,76,6.58
stride,4,76,7.41
stride,8,76,10.05
stride,16,76,17.78
stride,32,76,18.38
stride,64,76,18.40
stride,128,76,18.35
stride,256,76,18.24
stride,512,76,18.21
stride,1024,76,18.54
random,NA,76,19.30
sequential,1,77,6.25
stride,2,77,6.59
stride,4,77,7.42
stride,8,77,10.03
stride,16,77,17.83
stride,32,77,18.37
stride,64,77,18.36
stride,128,77,18.38
stride,256,77,18.30
stride,512,77,18.22
stride,1024,77,18.54
random,NA,77,19.36
sequential,1,78,6.20
stride,2,78,6.58
stride,4,78,7.42
stride,8,78,10.06
stride,16,78,17.80
stride,32,78,18.42
stride,64,78,18.54
stride,128,78,18.45
stride,256,78,18.33
stride,512,78,18.39
stride,1024,78,18.68
random,NA,78,19.29
sequential,1,79,6.20
stride,2,79,6.58
stride,4,79,7.42
stride,8,79,10.06
stride,16,79,17.83
stride,32,79,18.45
stride,64,79,18.40
stride,128,79,18.43
stride,256,79,18.30
stride,512,79,18.26
stride,1024,79,18.57
random,NA,79,19.30
sequential,1,80,6.20
stride,2,80,6.58
stride,4,80,7.42
stride,8,80,10.04
stride,16,80,17.79
stride,32,80,18.40
stride,64,80,18.38
stride,128,80,18.36
stride,256,80,18.26
stride,512,80,18.23
stride,1024,80,18.45
random,NA,80,19.33
sequential,1,81,6.20
stride,2,81,6.62
stride,4,81,7.42
stride,8,81,10.03
stride,16,81,17.78
stride,32,81,18.42
stride,64,81,18.43
stride,128,81,18.43
stride,256,81,18.42
stride,512,81,18.28
stride,1024,81,18.49
random,NA,81,19.28
sequential,1,82,6.20
stride,2,82,6.58
stride,4,82,7.42
stride,8,82,10.03
stride,16,82,17.81
stride,32,82,18.38
stride,64,82,18.53
stride,128,82,18.43
stride,256,82,18.33
stride,512,82,18.45
stride,1024,82,18.50
random,NA,82,19.29
sequential,1,83,6.20
stride,2,83,6.58
stride,4,83,7.43
stride,8,83,10.05
stride,16,83,17.76
stride,32,83,18.33
stride,64,83,18.34
stride,128,83,18.34
stride,256,83,18.24
stride,512,83,18.26
stride,1024,83,18.53
random,NA,83,19.28
sequential,1,84,6.20
stride,2,84,6.58
stride,4,84,7.42
stride,8,84,10.04
stride,16,84,17.80
stride,32,84,18.40
stride,64,84,18.41
stride,128,84,18.44
stride,256,84,18.32
stride,512,84,18.23
stride,1024,84,18.55
random,NA,84,19.30
sequential,1,85,6.20
stride,2,85,6.57
stride,4,85,7.44
stride,8,85,10.05
stride,16,85,17.75
stride,32,85,18.34
stride,64,85,18.35
stride,128,85,18.37
stride,256,85,18.29
stride,512,85,18.27
stride,1024,85,18.56
random,NA,85,19.31
sequential,1,86,6.20
stride,2,86,6.58
stride,4,86,7.43
stride,8,86,10.05
stride,16,86,17.84
stride,32,86,18.39
stride,64,86,18.38
stride,128,86,18.41
stride,256,86,18.41
stride,512,86,18.29
stride,1024,86,18.50
random,NA,86,19.27
sequential,1,87,6.20
stride,2,87,6.58
stride,4,87,7.41
stride,8,87,10.04
stride,16,87,17.85
stride,32,87,18.39
