run,initial_hit_time,probe_after_evict_time
1045,56,1062
1046,48,996
1047,52,912
1048,52,928
1049,54,918
1050,52,876
1051,52,986
1052,52,978
1053,52,982
1054,56,922
1055,52,904
1056,52,1298
1057,52,992
1058,50,918
1059,52,1188
1060,54,1612
1061,54,904
1062,56,970
1063,52,980
1064,52,922
1065,56,884
1066,48,1094
1067,48,992
1068,50,1814
1069,52,1682
1070,50,892
1071,54,986
1072,50,984
1073,52,922
1074,56,998
1075,50,1056
1076,54,992
1077,48,984
1078,50,970
1079,52,884
1080,54,994
1081,54,842
1082,56,1500
1083,54,960
1084,54,838
1085,50,908
1086,52,970
1087,52,900
1088,52,1002
1089,50,888
1090,56,874
1091,52,1090
1092,54,970
1093,52,1070
1094,54,888
1095,52,732
1096,50,970
1097,54,1032
1098,56,960
1099,54,902
1100,52,966
1101,50,968
1102,52,906
1103,52,970
1104,52,888
1105,50,902
1106,54,1266
1107,56,914
1108,52,782
1109,54,804
1110,52,806
1111,52,1098
1112,52,1212
1113,52,904
1114,50,746
1115,54,998
1116,50,968
1117,52,910
1118,52,986
1119,52,1054
1120,52,910
1121,52,904
1122,52,914
1123,54,968
1124,50,978
1125,50,826
1126,54,904
1127,56,890
1128,54,998
1129,54,992
1130,52,1066
1131,54,968
1132,56,1110
1133,56,968
1134,50,938
1135,52,1012
1136,54,1056
1137,54,998
1138,52,884
1139,54,884
1140,52,992
1141,56,1200
1142,54,1486
1143,52,984
1144,52,970
1145,52,1290
1146,56,906
1147,50,896
1148,50,886
1149,54,970
1150,54,906
1151,56,1192
1152,54,892
1153,54,976
1154,54,976
1155,52,1152
1156,52,1636
1157,50,1176
1158,54,1400
1159,52,1026
1160,52,982
1161,56,976
1162,52,974
1163,52,900
1164,54,1066
1165,54,976
1166,54,896
1167,50,970
1168,52,890
1169,50,812
1170,56,1104
1171,54,1092
1172,50,980
1173,52,974
1174,52,914
1175,54,1624
1176,50,908
1177,52,908
1178,54,958
1179,52,900
1180,54,906
1181,50,906
1182,54,916
1183,52,1092
1184,52,1000
1185,52,1084
1186,54,896
1187,52,898
1188,54,1644
1189,54,986
1190,52,894
1191,52,968
1192,50,986
1193,50,972
1194,50,1076
1195,50,956
1196,46,836
1197,50,912
1198,56,1074
1199,54,1082
1200,54,906
1201,52,956
1202,52,970
1203,52,738
1204,54,596
1205,54,912
1206,52,982
1207,50,896
1208,52,978
1209,52,902
1210,52,1428
1211,52,974
1212,56,1130
1213,52,942
1214,52,948
1215,52,910
1216,54,1088
1217,56,924
1218,50,966
1219,54,882
1220,54,978
1221,54,1080
1222,52,816
1223,54,818
1224,54,920
1225,54,894
1226,52,974
1227,52,900
1228,56,912
1229,56,1138
1230,50,980
1231,50,1226
1232,56,880
1233,52,878
1234,50,914
1235,52,1606
1236,52,890
1237,54,974
1238,52,1168
1239,54,906
1240,52,830
1241,52,808
1242,52,906
1243,50,812
1244,54,806
1245,52,720
1246,52,824
1247,52,802
1248,54,730
1249,52,816
1250,52,818
1251,52,590
1252,54,800
1253,52,806
1254,50,802
1255,54,796
1256,50,816
1257,54,1632
1258,52,1080
1259,54,968
1260,52,978
1261,52,984
1262,50,906
1263,52,998
1264,52,978
1265,54,972
1266,56,892
1267,52,892
1268,52,1078
1269,52,894
1270,52,988
1271,52,906
1272,54,880
1273,52,896
1274,52,922
1275,54,976
1276,54,754
1277,52,894
1278,50,800
1279,54,752
1280,52,754
1281,52,1060
1282,54,1432
1283,54,916
1284,52,920
1285,50,986
1286,50,976
1287,56,994
1288,56,986
1289,52,984
1290,46,752
1291,52,810
1292,56,818
1293,50,824
1294,54,1088
1295,52,810
1296,50,824
1297,52,818
1298,56,936
1299,52,750
1300,56,746
1301,56,652
1302,54,806
1303,50,678
1304,52,1398
1305,52,984
1306,54,958
1307,52,920
1308,52,816
1309,52,820
1310,52,886
1311,56,886
1312,52,986
1313,54,972
1314,52,932
1315,56,890
1316,56,968
1317,54,890
1318,52,882
1319,50,968
1320,52,1800
1321,52,1120
1322,50,1486
1323,50,980
1324,56,984
1325,50,974
1326,52,916
1327,50,986
1328,54,990
1329,56,920
1330,50,986
1331,54,990
1332,56,976
1333,52,976
1334,50,908
1335,52,1420
1336,58,918
1337,52,916
1338,54,986
1339,52,1016
1340,54,906
1341,52,828
1342,48,960
1343,54,1072
1344,54,820
1345,52,890
1346,50,828
1347,52,974
1348,54,1030
1349,52,874
1350,50,814
1351,56,978
1352,50,916
1353,52,1000
1354,50,1192
1355,52,968
1356,52,1088
1357,52,976
1358,52,984
1359,52,1062
1360,52,966
1361,56,968
1362,50,910
1363,52,1044
1364,56,1054
1365,58,1420
1366,54,992
1367,52,976
1368,50,918
1369,56,970
1370,52,1026
1371,52,904
1372,52,892
1373,54,1034
1374,50,980
1375,52,1092
1376,54,1002
1377,56,990
1378,56,978
1379,50,1066
1380,54,922
1381,54,980
1382,58,836
1383,52,920
1384,52,1082
1385,56,974
1386,54,992
1387,50,990
1388,52,922
1389,50,1222
1390,52,1228
1391,54,1154
1392,52,1212
1393,52,1222
1394,54,1510
1395,54,1490
1396,52,1072
1397,54,992
1398,50,908
1399,50,1106
1400,54,818
1401,50,990
1402,54,928
1403,50,922
1404,50,862
1405,54,840
1406,56,940
1407,54,972
1408,54,968
1409,52,1058
1410,50,978
1411,52,990
1412,52,902
1413,52,858
1414,52,1000
1415,54,1248
1416,52,918
1417,52,910
1418,50,996
1419,54,836
1420,52,822
1421,54,714
1422,52,748
1423,52,750
1424,50,788
1425,56,818
1426,50,1058
1427,54,1060
1428,52,1438
1429,52,1058
1430,50,1054
1431,56,922
1432,56,1052
1433,56,988
1434,50,914
1435,54,828
1436,56,964
1437,50,918
1438,54,1088
1439,52,976
1440,52,918
1441,52,922
1442,52,972
1443,48,996
1444,50,972
1445,58,980
1446,52,834
1447,52,904
1448,50,990
1449,52,908
1450,52,1780
1451,56,814
1452,54,886
1453,52,1068
1454,54,892
1455,52,982
1456,56,816
1457,52,872
1458,54,754
1459,50,740
1460,54,976
1461,52,932
1462,52,990
1463,52,884
1464,52,978
1465,56,822
1466,52,898
1467,50,888
1468,54,908
1469,52,880
1470,50,822
1471,52,890
1472,54,1078
1473,54,818
1474,52,1660
1475,54,1522
1476,56,856
1477,50,878
1478,54,1074
1479,52,1136
1480,54,986
1481,54,910
1482,52,898
1483,52,910
1484,52,906
1485,54,746
1486,52,732
1487,52,740
1488,54,680
1489,52,1118
1490,52,894
1491,52,916
1492,52,936
1493,54,976
1494,52,972
1495,50,1058
1496,50,1448
1497,52,1432
1498,52,982
1499,52,996
1500,54,972
1501,52,966
1502,52,990
1503,56,900
1504,52,832
1505,54,902
1506,52,960
1507,56,978
1508,52,1082
1509,52,970
1510,54,896
1511,52,874
1512,52,980
1513,52,986
1514,52,968
1515,52,960
1516,52,980
1517,54,842
1518,54,1480
1519,50,988
1520,52,988
1521,54,894
1522,56,910
1523,50,898
1524,52,1150
1525,52,908
1526,54,842
1527,52,922
1528,52,978
1529,52,976
1530,52,976
1531,52,992
1532,52,900
1533,54,914
1534,50,1060
1535,50,812
1536,52,714
1537,52,810
1538,52,910
1539,54,732
1540,54,750
1541,52,750
1542,52,736
1543,54,1416
1544,52,1108
1545,50,912
1546,54,1064
1547,52,976
1548,54,978
1549,56,960
1550,54,846
1551,50,818
1552,54,1120
1553,54,972
1554,56,890
1555,52,970
1556,52,888
1557,54,900
1558,50,1102
1559,54,912
1560,52,912
1561,54,1002
1562,52,1080
1563,52,1000
1564,54,1418
1565,50,1498
1566,54,976
1567,52,904
1568,50,902
1569,56,970
1570,54,914
1571,52,936
1572,52,978
1573,50,1502
1574,50,1426
1575,52,1500
1576,52,990
1577,52,986
1578,52,982
1579,54,904
1580,50,986
1581,52,1072
1582,58,988
1583,48,974
1584,50,980
1585,56,902
1586,54,908
1587,54,1496
1588,54,1432
1589,54,902
1590,50,834
1591,56,966
1592,50,974
1593,52,968
1594,54,916
1595,50,980
1596,54,902
1597,52,982
1598,50,984
1599,50,984
1600,54,904
1601,50,988
1602,56,980
1603,56,968
1604,52,986
1605,52,978
1606,56,910
1607,58,1162
1608,52,976
1609,50,1096
1610,52,974
1611,52,978
1612,56,968
1613,52,974
1614,52,992
1615,54,906
1616,56,1008
1617,58,1604
1618,50,964
1619,52,982
1620,52,1066
1621,52,994
1622,52,984
1623,52,974
1624,50,840
1625,52,914
1626,52,966
1627,54,966
1628,54,980
1629,54,918
1630,48,844
1631,56,900
1632,48,974
1633,52,970
1634,52,754
1635,50,988
1636,56,1074
1637,52,1058
1638,52,900
1639,52,980
1640,54,878
1641,52,1054
1642,56,974
1643,52,966
1644,52,1228
1645,54,898
1646,54,1434
1647,52,1496
1648,54,978
1649,56,974
1650,50,908
1651,56,902
1652,52,884
1653,52,892
1654,46,982
1655,52,916
1656,52,1004
1657,52,976
1658,56,980
1659,50,960
1660,52,968
1661,50,1284
1662,52,884
1663,54,916
1664,54,734
1665,52,736
1666,52,704
1667,54,898
1668,54,814
1669,54,818
