run,l1_hit,l2_hit,l3_hit,ram_access
655,32,32,56,836
656,32,32,48,184
657,32,32,56,184
658,32,32,48,184
659,32,32,56,180
660,32,32,48,180
661,32,32,60,184
662,32,32,48,184
663,32,32,56,180
664,32,32,48,184
665,32,32,48,184
666,32,32,52,184
667,32,32,48,184
668,32,32,56,180
669,32,32,48,184
670,32,32,56,456
671,32,32,44,180
672,32,32,56,184
673,32,32,48,184
674,32,32,56,184
675,32,32,48,184
676,32,32,56,184
677,32,32,48,184
678,32,32,56,180
679,32,32,48,184
680,32,32,48,184
681,32,32,56,184
682,32,32,48,188
683,32,32,56,184
684,32,32,48,180
685,32,32,56,180
686,32,32,52,180
687,32,32,56,184
688,32,32,48,184
689,32,32,56,180
690,32,32,48,184
691,32,32,56,184
692,32,32,48,184
693,32,32,56,180
694,32,32,48,180
695,32,32,48,180
696,32,32,56,184
697,32,32,48,184
698,32,32,56,184
699,32,32,52,180
700,32,32,56,180
701,32,32,48,184
702,32,32,56,184
703,32,32,48,180
704,32,32,56,180
705,32,32,48,184
706,32,32,56,184
707,32,32,48,184
708,32,32,48,184
709,32,36,48,180
710,32,32,48,180
711,32,32,56,184
712,32,32,48,184
713,32,32,56,180
714,32,32,52,184
715,32,32,56,180
716,32,32,48,184
717,32,32,56,184
718,32,32,48,188
719,32,32,56,184
720,32,32,48,184
721,32,32,56,180
722,32,32,48,184
723,32,32,48,184
724,32,32,56,184
725,32,32,48,184
726,32,32,56,180
727,32,32,48,184
728,32,32,56,180
729,32,32,48,180
730,32,32,60,180
731,32,32,48,180
732,32,32,56,184
733,32,32,48,180
734,32,32,60,184
735,32,32,44,180
736,32,32,56,180
737,32,32,52,180
738,32,32,44,180
739,32,32,56,480
740,32,32,52,180
741,32,32,52,180
742,32,32,48,180
743,32,32,56,184
744,32,32,48,180
745,32,32,56,184
746,32,32,48,184
747,32,32,52,180
748,32,32,48,184
749,32,32,56,184
750,32,32,48,184
751,32,32,60,180
752,32,32,52,184
753,32,32,48,344
754,32,32,56,180
755,32,32,52,184
756,32,32,56,180
757,32,32,48,184
758,32,32,56,180
759,32,32,48,192
760,32,32,60,184
761,32,32,48,176
762,32,32,56,184
763,32,32,48,184
764,32,32,60,184
765,32,32,48,184
766,32,32,56,184
767,32,32,48,184
768,32,32,48,184
769,32,32,56,180
770,32,32,48,840
771,32,32,56,184
772,32,32,48,184
773,32,32,56,184
774,32,32,48,188
775,32,32,60,180
776,32,32,48,184
777,32,32,52,180
778,32,32,48,184
779,32,32,56,180
780,32,32,52,184
781,32,32,48,184
782,32,32,56,180
783,32,32,48,184
784,32,32,56,192
785,32,32,48,184
786,32,32,56,184
787,32,32,52,184
788,32,32,60,180
789,32,32,52,184
790,32,32,56,184
791,32,32,48,180
792,32,32,56,184
793,32,32,48,180
794,32,32,56,180
795,32,32,48,184
796,32,32,52,180
797,32,32,56,180
798,32,32,48,180
799,32,32,60,184
800,32,32,48,184
801,32,32,56,180
802,32,32,48,180
803,32,32,60,396
804,32,32,48,184
805,32,32,56,184
806,32,32,48,184
807,32,32,56,188
808,32,32,48,184
809,32,32,52,180
810,32,32,48,184
811,32,32,48,180
812,32,32,56,184
813,32,32,48,180
814,32,32,56,184
815,32,32,52,184
816,32,32,56,184
817,32,32,48,180
818,32,32,56,180
819,32,32,48,184
820,32,32,60,180
821,32,32,48,184
822,32,32,56,184
823,32,32,48,184
824,32,32,48,184
825,32,36,48,184
826,32,32,48,184
827,32,32,56,184
828,32,32,52,180
829,32,32,56,184
830,32,32,48,188
831,32,32,56,180
832,32,32,48,184
833,32,32,56,180
834,32,32,52,184
835,32,32,56,184
836,32,32,48,184
837,32,32,56,180
838,32,32,52,180
839,32,32,48,184
840,32,32,56,180
841,32,32,48,184
842,32,32,56,180
843,32,32,44,188
844,32,32,60,184
845,32,32,48,184
846,32,32,56,184
847,32,32,48,180
848,32,32,56,180
849,32,32,48,184
850,32,32,56,184
851,32,32,48,180
852,32,32,60,180
853,32,32,48,184
854,32,32,48,184
855,32,32,56,184
856,32,32,44,180
857,32,32,60,180
858,32,32,48,180
859,32,32,56,180
860,32,32,48,184
861,32,32,56,184
862,32,32,48,180
863,32,32,56,184
864,32,32,48,184
865,32,32,56,188
866,32,32,48,180
867,32,32,56,184
868,32,32,48,184
869,32,32,48,180
870,32,32,60,184
871,32,32,48,184
872,32,32,56,180
873,32,32,52,180
874,32,32,56,184
875,32,32,48,180
876,32,32,56,184
877,32,32,48,184
878,32,32,56,184
879,32,32,52,184
880,32,32,56,180
881,32,32,48,184
882,32,32,48,580
883,32,32,48,180
884,32,32,48,184
885,32,32,56,184
886,32,32,48,184
887,32,32,56,184
888,32,32,48,180
889,32,32,60,180
890,32,32,52,184
891,32,32,56,184
892,32,32,48,184
893,32,32,56,180
894,32,32,48,180
895,32,32,56,184
896,32,32,48,184
897,32,32,48,184
898,32,32,56,184
899,32,32,48,180
900,32,32,56,180
901,32,32,48,176
902,32,32,56,184
903,32,32,48,184
904,32,32,56,184
905,32,32,48,180
906,32,32,56,184
907,32,32,48,184
908,32,32,52,184
909,32,32,48,180
910,32,32,56,184
911,32,32,48,184
912,32,32,48,180
913,32,32,56,180
914,32,32,48,180
915,32,32,56,184
916,32,32,48,184
917,32,32,56,180
918,32,32,48,184
919,32,32,60,184
920,32,32,48,184
921,32,32,56,180
922,32,32,48,180
923,32,32,56,184
924,32,32,48,180
925,32,32,60,184
926,32,32,48,184
927,32,32,52,180
928,32,32,56,184
929,32,32,52,184
930,32,32,60,184
931,32,32,48,184
932,32,32,56,184
933,32,32,52,184
934,32,32,56,180
935,32,32,48,184
936,32,32,56,184
937,32,32,48,180
938,32,32,56,180
939,32,32,44,188
940,32,32,48,184
941,32,32,52,180
942,32,32,52,180
943,32,32,56,184
944,32,32,48,184
945,32,32,56,188
946,32,32,48,180
947,32,32,56,184
948,32,32,48,184
949,32,32,56,184
950,32,32,52,180
951,32,32,60,184
952,32,32,48,188
953,32,32,56,188
954,32,32,52,184
955,32,32,48,180
956,32,32,56,188
957,32,32,52,180
958,32,32,56,184
959,32,32,48,596
960,32,32,56,184
961,32,32,48,184
962,32,32,56,184
963,32,32,48,184
964,32,32,56,184
965,32,32,48,184
966,32,32,56,184
967,32,32,48,180
968,32,32,56,184
969,32,32,52,184
970,32,32,48,184
971,32,32,56,180
972,32,32,48,184
973,32,32,56,184
974,32,32,48,180
975,32,32,56,188
976,32,32,48,516
977,32,32,56,184
978,32,32,48,188
979,32,32,56,768
980,32,32,48,184
981,32,32,56,184
982,32,32,48,184
983,32,32,56,180
984,32,32,48,184
985,32,32,48,180
986,32,32,56,184
